authors,first_name,last_name,title,description,rating,review_date,review,status,began_date,completed_date,tags,notes,groups,copies,created,publisher,publish_date,pages,price,isbn10,isbn13
,,,"Five Books of Moses: A Translation with Commentary, The","The capstone of a brilliant scholar's lifelong work to establish the literary identity of the Bible, in an elegant, slipcased hardcover. Through a distinguished career of critical scholarship and translation, Robert Alter has equipped us to read the Hebrew Bible as a powerful, cohesive work of literature. The culmination of this work, Alter's masterly new translation and probing commentary combine to give contemporary readers the definitive edition of The Five Books. Alter's majestic translation recovers the mesmerizing effect of these ancient stories—the profound and haunting enigmas, the ambiguities of motive and image, and the distinctive cadences and lovely precision of the Hebrew text. Other modern translations either recast these features for contemporary clarity, thereby losing the character of the original, or fail to give readers a suitably fluid English as a point of contact. Alter's translation conveys the music and the meaning of the Hebrew text in a lyrical, lucid English. His accompanying commentary illuminates the text with learned insight and reflection on its literary and historical dimensions.",,,,,,,,,,1,2015-08-22,"W. W. Norton & Company",2004-08-17,1120,,0393019551,9780393019551
"Stanley Rosen",Stanley,Rosen,"Metaphysics in Ordinary Language","In this collection of philosophical writings, Stanley Rosen addresses a wide range of topics - from eros, poetry, and freedom to problems like negation and the epistemological status of sense perception. Though diverse in subject, Rosen's essays share two unifying principles: there can be no legitimate separation of textual hermeneutics from philosophical analysis, and philosophical investigation must be oriented in terms of everyday language and experience, although it cannot simply remain within these confines. Ordinary experience provides a minimal criterion for the assessment of extraordinary discourses, Rosen argues, and without such a criterion we would have no basis for evaluating conflicting discourses: philosophy would give way to poetry.",,,,,,,,,,1,2015-08-22,"Yale University Press",1999-01-11,304,,0300074786,9780300074789
"Richard Rorty",Richard,Rorty,"Objectivity, Relativism, and Truth: Philosophical Papers (Philosophical Papers (Cambridge)) (Volume 1)","In this volume Rorty offers a Deweyan account of objectivity as intersubjectivity, one that drops claims about universal validity and instead focuses on utility for the purposes of a community. The sense in which the natural sciences are exemplary for inquiry is explicated in terms of the moral virtues of scientific communities rather than in terms of a special scientific method. The volume concludes with reflections on the relation of social democratic politics to philosophy.",,,,,,,,,,1,2015-08-22,"Cambridge University Press",1990-11-30,236,,0521358779,9780521358774
"Richard Rorty",Richard,Rorty,"Truth and Progress: Philosophical Papers (Philosophical Papers (Cambridge)) (Volume 3)","This eagerly awaited book complements two highly successful previously published volumes of Richard Rorty's philosophical papers: Objectivity, Relativism, and Truth, and Essays on Heidegger and Others. In this new, provocative collection, Rorty continues to defend a pragmatist view of truth and deny that truth is a goal of inquiry. In these dynamic essays, Rorty also engages with the work of many of today's most innovative thinkers including Robert Brandom, Donald Davidson, Daniel Dennett, Jacques Derrida, JÜrgen Habermas, John McDowell, Hilary Putnam, John Searle, and Charles Taylor. The collection also touches on problems in contemporary feminism raised by Annette Baier, Marilyn Frye, and Catherine MacKinnon, and considers issues connected with human rights and cultural differences. Challenging, stimulating and controversial, this book will appeal to thoughtful readers around the world.     Richard Rorty was an undergraduate at the University of Chicago, completed his graduate work at Yale, and taught at Princeton from 1961 until 1982. His first ground-breaking book, an attack on traditional epistemology, was Philosophy and the Mirror of Nature (1979). His previous books with Cambridge have been Contingency, Irony, and Solidarity (1989), a book that sold over 46,000 copies since publication and has been translated into seventeen different languages, and two volumes of philosophical papers: Objectivity, Relativism, and Truth, and Essays on Heidegger and Others. A recipient of a MacArthur Foundation grant, Rorty has lectured throughout the world.      Also available      Objectivity, Relativism and Truth: Philosophical Papers: Volume 1   0-521-35877-9 Paperback      Essays on Heidegger and Others: Philosophical Papers: Volume 2   0-521-35878-7 Paperback",,,,,,,,,,1,2015-08-22,"Cambridge University Press",1998-03-13,363,,0521556864,9780521556866
Aristotle,Aristotle,Aristotle,"Aristotle's Nicomachean Ethics","The Nicomachean Ethics is one of Aristotle’s most widely read and influential works. Ideas central to ethics—that happiness is the end of human endeavor, that moral virtue is formed through action and habituation, and that good action requires prudence—found their most powerful proponent in the person medieval scholars simply called “the Philosopher.” Drawing on their intimate knowledge of Aristotle’s thought, Robert C. Bartlett and Susan D. Collins have produced here an English-language translation of the Ethics that is as remarkably faithful to the original as it is graceful in its rendering.Aristotle is well known for the precision with which he chooses his words, and in this elegant translation his work has found its ideal match. Bartlett and Collins provide copious notes and a glossary providing context and further explanation for students, as well as an introduction and a substantial interpretive essay that sketch central arguments of the work and the seminal place of Aristotle’s Ethics in his political philosophy as a whole.The Nicomachean Ethics has engaged the serious interest of readers across centuries and civilizations—of peoples ancient, medieval, and modern; pagan, Christian, Muslim, and Jewish—and this new edition will take its place as the standard English-language translation.",,,,,,,,,,1,2015-08-22,"University Of Chicago Press",2011-06-01,368,,0226026744,9780226026749
Aristotle,Aristotle,Aristotle,"Politics, The","This new translation of one of the fundamental texts of Western political thought combines strict fidelity to Aristotle's Greek with a contemporary English prose style. Lord's intention throughout is to retain Aristotle's distinctive style.The accompanying notes provide literary and historical references, call attention to textual problems, and supply other essential information and interpretation. A glossary supplies working definitions of key terms in Aristotle's philosophical-political vocabulary as well as a guide to linguistic relationships that are not always reflected in equivalent English terms. Lord's extensive Introduction presents a detailed account of Aristotle's life in relation to the political situation and events of his time and then discusses the problematic character and history of Aristotle's writings in general and of the Politics in particular. Lord also outlines Aristotle's conception of political science, tracing its relation to theoretical science on the one hand and to ethics on the other. In conclusion, he briefly traces the subsequent history and influence of the Politics up to modern times.""Lord's translation is clearly the best available.""—Claremont Review",,,,,,,,,,1,2015-08-22,"University Of Chicago Press",1985-10-15,290,,0226026698,9780226026695
"Leo Strauss",Leo,Strauss,"Leo Strauss On Plato's Symposium","The first major piece of unpublished work by Leo Strauss to appear in more than thirty years, this volume offers the public the unprecedented experience of encountering this renowned scholar as his students did. Given as a course in autumn 1959 under the title",,,,,,,,,,1,2015-08-22,"University Of Chicago Press",2003-05-01,320,,0226776867,9780226776866
"Ronna Burger",Ronna,Burger,"Aristotle's Dialogue with Socrates: On the ""Nicomachean Ethics""","What is the good life for a human being? Aristotle’s exploration of this question in the Nicomachean Ethics has established it as a founding work of Western philosophy, though its teachings have long puzzled readers and provoked spirited discussion. Adopting a radically new point of view, Ronna Burger deciphers some of the most perplexing conundrums of this influential treatise by approaching it as Aristotle’s dialogue with the Platonic Socrates.Tracing the argument of the Ethics as it emerges through that approach, Burger’s careful reading shows how Aristotle represents ethical virtue from the perspective of those devoted to it while standing back to examine its assumptions and implications. “This is the best book I have read on Aristotle’s Nicomachean Ethics. It is so well crafted that reading it is like reading the Ethics itself, in that it provides an education in ethical matters that does justice to all sides of the issues.”—Mary P. Nichols, Baylor University",,,,,,,,,,1,2015-08-22,"University Of Chicago Press",2008-07-15,306,,0226080501,9780226080505
"Plato,Robert C. Bartlett",Plato,Plato,"""Protagoras"" and ""Meno"" (Agora Editions)","This volume contains new translations of two dialogues of Plato, the Protagoras and the Meno, together with explanatory notes and substantial interpretive essays. Robert C. Bartlett's translations are as literal as is compatible with sound English style and take into account important textual variations. Because the interpretive essays both sketch the general outlines of the dialogues and take up specific theoretical or philosophic difficulties, they will be of interest not only to those reading the dialogues for the first time but also to those already familiar with them.The Protagoras and the Meno are linked by the attention each pays to the idea of virtue: the latter dialogue focuses on the fundamental Socratic question, ""What is virtue?""; the former on the specific virtue of courage, especially in its relation to wisdom. An appendix contains a short extract from Xenophon's Anabasis of Cyrus that vividly portrays the figure of Meno.",,,,,,,,,,1,2015-08-22,"Cornell University Press",2004-01-29,168,,0801488656,9780801488658
Plato,Plato,Plato,"Plato's Symposium: A Translation by Seth Benardete with Commentaries by Allan Bloom and Seth Benardete","Plato, Allan Bloom wrote, is ""the most erotic of philosophers,"" and his Symposium is one of the greatest works on the nature of love ever written. This new edition brings together the English translation of the renowned Plato scholar and translator, Seth Benardete, with two illuminating commentaries on it: Benardete's ""On Plato's Symposium"" and Allan Bloom's provocative essay, ""The Ladder of Love."" In the Symposium, Plato recounts a drinking party following an evening meal, where the guests include the poet Aristophanes, the drunken Alcibiades, and, of course, the wise Socrates. The revelers give their views on the timeless topics of love and desire, all the while addressing many of the major themes of Platonic philosophy: the relationship of philosophy and poetry, the good, and the beautiful.",,,,,,,,,,1,2015-08-22,"University of Chicago Press",2001-02-01,199,,0226042758,9780226042756
"Seth Benardete",Seth,Benardete,"Plato's ""Laws"": The Discovery of Being","The Laws was Plato's last work, his longest, and one of his most difficult. In contrast to the Republic, which presents an abstract ideal not intended for any actual community, the Laws seems to provide practical guidelines for the establishment and maintenance of political order in the real world. With this book, the distinguished classicist Seth Benardete offers an insightful analysis and commentary on this rich and complex dialogue. Each of the chapters corresponds to one of the twelve books of the Laws, illuminating the major themes and arguments, which have to do with theology, the soul, justice, and education.The Greek word for law, ""nomos,"" also means musical tune. Bernardete shows how music—in the broadest sense, including drama, epic poetry, and even puppetry—mediates between reason and the city in Plato's philosophy of law. Most broadly, however, Benardete here uncovers the concealed ontological dimension of the Laws, explaining why it is concealed and how it comes to light. In establishing the coherence and underlying organization of Plato's last dialogue, Benardete makes a significant contribution to Platonic studies.",,,,,,,,,,1,2015-08-22,"University Of Chicago Press",2001-02-01,432,,0226042715,9780226042718
"Adam Ferguson",Adam,Ferguson,"Ferguson: An Essay on the History of Civil Society (Cambridge Texts in the History of Political Thought)","Adam Ferguson's Essay on the History of Civil Society (first published in 1767) is a classic of the Scottish--and European--Enlightenment. Drawing on such diverse sources as classical authors and contemporary travel literature, Ferguson combines a subtle analysis of modern commercial society with a critique of its abandonment of civic and communal virtues. Central themes in Ferguson's theory of citizenship are conflict, play, political participation and military valor. The Essay is a bold and novel attempt to reclaim the tradition of active citizenship in the modern state.",,,,,,,,,,1,2015-08-22,"Cambridge University Press",1996-02-23,322,,0521447364,9780521447362
"Thomas L. Pangle",Thomas,Pangle,"Political Philosophy and the God of Abraham","In this book noted scholar Thomas L. Pangle brings back a lost and crucial dimension of political theory: the mutually illuminating encounter between skeptically rationalist political philosophy and faith-based political theology guided ultimately by the authority of the Bible. Focusing on the chapters of Genesis in which the foundation of the Bible is laid, Pangle provides an interpretive reading illuminated by the questions and concerns of the Socratic tradition and its medieval heirs in the Christian, Jewish, and Islamic worlds. He brings into contrast the rival interpretive framework set by the biblical criticism of the modern rationalists Hobbes and Spinoza, along with their heirs from Locke to Hegel. The full meaning of these diverse philosophic responses to the Bible is clarified through a dialogue with hermeneutic discussions by leading political theologians in the Judaic, Muslim, and Christian traditions, from Josephus and Augustine to our day. Profound and subtle in its argument, this book will be of interest not only to students and scholars of politics, philosophy, and religion but also to thoughtful readers in every walk of life who seek to deepen their understanding of the perplexing relationship between religious faith and philosophic reason.",,,,,,,,,,1,2015-08-22,"Johns Hopkins University Press",2003-07-24,304,,0801873282,9780801873287
"William H. Sewell Jr.",William,Sewell,"Logics of History: Social Theory and Social Transformation (Chicago Studies in Practices of Meaning)","While social scientists and historians have been exchanging ideas for a long time, they have never developed a proper dialogue about social theory. William H. Sewell Jr. observes that on questions of theory the communication has been mostly one way: from social science to history. Logics of History argues that both history and the social sciences have something crucial to offer each other. While historians do not think of themselves as theorists, they know something social scientists do not: how to think about the temporalities of social life. On the other hand, while social scientists’ treatments of temporality are usually clumsy, their theoretical sophistication and penchant for structural accounts of social life could offer much to historians.Renowned for his work at the crossroads of history, sociology, political science, and anthropology, Sewell argues that only by combining a more sophisticated understanding of historical time with a concern for larger theoretical questions can a satisfying social theory emerge. In Logics of History, he reveals the shape such an engagement could take, some of the topics it could illuminate, and how it might affect both sides of the disciplinary divide.",,,,,,,,,,1,2015-08-22,"University Of Chicago Press",2005-08-01,376,,0226749185,9780226749181
"Stanley Rosen",Stanley,Rosen,"Nihilism (Carthage Reprint)",,,,,,,,,,,1,2015-08-22,"St. Augustines Press",1999-11-15,272,,1890318450,9781890318451
"David Schmidtz",David,Schmidtz,"Elements of Justice, The","What is justice?  Questions of justice are questions about what people are due, but what that means in practice depends on context. Depending on context, the formal question of what people are due is answered by principles of desert, reciprocity, equality, or need. Justice, thus, is a constellation of elements that exhibit a degree of integration and unity, but the integrity of justice is limited, in a way that is akin to the integrity of a neighborhood rather than that of a building. A theory of justice is a map of that neighborhood.",,,,,,,,,,1,2015-08-22,"Cambridge University Press",2006-01-09,254,,0521539366,9780521539364
"Plato,Aristophanes",Plato,Plato,"Four Texts on Socrates: Plato's ""Euthyphro,"" ""Apology of Socrates,"" ""Crito,"" and Aristophanes' ""Clouds""","Widely adopted for classroom use, this book offers translations of four major works of ancient Greek literature which treat the life and thought of Socrates, focusing particularly on his trial and defense (three dialogues by Plato: Euthyphro, Apology of Socrates, and Crito) and on the charges against Socrates (Aristophanes' comedy Clouds).This is the only collection of the three Platonic dialogues that also includes Clouds, a work that is fundamental for understanding the thought of Socrates in relation to the Athenian political community and to Greek poetry. Thomas G. West's introduction provides an overview of the principal themes and arguments of the four works. There are extensive explanatory notes to the translations.In their translations, the Wests capture successfully the simplicity and vigor of straightforward Greek diction. They strive for as high a degree of accuracy as possible, subordinating concerns for elegance and smoothness to the goal of producing the most faithful and most reliable English versions of these texts. For this new edition, Thomas West has revised the introduction and updated the annotated bibliography, which includes the best of the secondary literature on Socrates and on the texts included in this book.",,,,,,,,,,1,2015-08-22,"Cornell University Press",1998-08-27,192,,0801485746,9780801485749
"Giovanni Pico della Mirandola",Giovanni,Mirandola,"On the Dignity of Man (Hackett Classics)","Reflecting the broad range of interests of a major Renaissance philosopher and his distinctive brand of syncretism, this anthology offers in their entirety three central works of Pico's. On the Dignity of Man, the quintessential expression of Renaissance humanism, appears in the context of two lesser known but equally representative mature works: On Being and the One, a treatise defending what Pico held to be the agreement between Aristotle and Plato on the relation between unity and being, and Heptaplus, an interpretation, influenced by a blend of cabalism and Christian doctrine, of the first verses of Genesis. New Selected Bibliography.",,,,,,,,,,1,2015-08-22,"Hackett Publishing Company, Inc.",1998-03-01,208,,0872203964,9780872203969
"Ralph Lerner",Ralph,Lerner,"Playing the Fool: Subversive Laughter in Troubled Times","The role of the fool is to provoke the powerful to question their convictions, preferably while avoiding a beating. Fools accomplish this not by hectoring their audience, but by broaching sensitive topics indirectly, often disguising their message in a joke or a tale. Writers and thinkers throughout history have adopted the fool’s approach, and here Ralph Lerner turns to six of them—Thomas More, Francis Bacon, Robert Burton, Pierre Bayle, Benjamin Franklin, and Edward Gibbon—to elucidate the strategies these men employed to persuade the heedless, the zealous, and the overly confident to pause and reconsider. As Playing the Fool makes plain, all these men lived through periods marked by fanaticism, particularly with regard to religion and its relation to the state. In such a troubled context, advocating on behalf of skepticism and against tyranny could easily lead to censure, or even, as in More’s case, execution. And so, Lerner reveals, these serious thinkers relied on humor to move their readers toward a more reasoned understanding of the world and our place in it. At once erudite and entertaining, Playing the Fool is an eloquently thought-provoking look at the lives and writings of these masterly authors.",,,,,,,,,,1,2015-08-22,"University Of Chicago Press",2009-12-15,144,,0226473155,9780226473154
Aristotle,Aristotle,Aristotle,"Nicomachean Ethics","Philosophy, Ethical Studies, Classical Studies",,,,,,,,,,1,2015-08-22,Pearson,1999-01-11,316,,0023895306,9780023895302
"Charles Taylor",Charles,Taylor,"Philosophical Arguments","  Charles Taylor is one of the most important English-language philosophers at work today; he is also unique in the philosophical community in applying his ideas on language and epistemology to social theory and political problems. In this book Taylor brings together some of his best essays, including ""Overcoming Epistemology,"" ""The Validity of Transcendental Argument,"" ""Irreducibly Social Goods,"" and ""The Politics of Recognition."" As usual, his arguments are trenchant, straddling the length and breadth of contemporary philosophy and public discourse.    The strongest theme running through the book is Taylor's critique of disengagement, instrumental reason, and atomism: that individual instances of knowledge, judgment, discourse, or action cannot be intelligible in abstraction from the outside world. By developing his arguments about the importance of ""engaged agency,"" Taylor simultaneously addresses themes in philosophical debate and in a broader discourse of political theory and cultural studies. The thirteen essays in this collection reflect most of the concerns with which he has been involved throughout his career--language, ideas of the self, political participation, the nature of modernity. His intellectual range is extraordinary, as is his ability to clarify what is at stake in difficult philosophical disputes. Taylor's analyses of liberal democracy, welfare economics, and multiculturalism have real political significance, and his voice is distinctive and wise.  ",,,,,,,,,,1,2015-08-22,"Harvard University Press",1997-03-25,336,,0674664779,9780674664777
"Stanley Rosen",Stanley,Rosen,"Elusiveness of the Ordinary:  Studies in the Possibility of Philosophy, The","The concept of the ordinary, along with such cognates as everyday life, ordinary language and ordinary experience, has come into special prominence in late-modern philosophy. Thinkers have employed two opposing yet related responses to the notion of the ordinary: scientific and phenomenological approaches on the one hand, and on the other, more informal or even anti-scientific procedures. Philosopher Stanley Rosen here presents a comprehensive study of the main approaches to theoretical mastery of ordinary experience. He evaluates the responses of a wide range of modern and contemporary thinkers and grapples with the peculiar problem of the ordinary - how to define it in its own terms without transforming it into a technical - and so, extraordinary - artefact. Rosen's approach is both historical and philosophical. He offers Montesquieu and Husserl as examples of the scientific approach to ordinary experience; contrasts Kant and Heidegger with Aristotle to illustrate the transcendental approach and its main alternatives; discusses attempts by Wittgenstein and Strauss to return to the pre-theoretical domain; and analyzes the differences among such thinkers as Moore, Austin, Grice and Russell with respect to the analytical response to ordinary language. Rosen concludes with a theoretical exploration of the central problem of how to capture the elusive ordinary intact.",,,,,,,,,,1,2015-08-22,"Yale University Press",2002-08-01,336,,0300091974,9780300091977
"Robert B. Pippin",Robert,Pippin,"Idealism as Modernism: Hegelian Variations (Modern European Philosophy)","Robert Pippin disputes many traditional characterizations of the distinctiveness of modern philosophy.  In their place he defends claims about agency, freedom, ethical life and modernity itself, all of which are central to the German idealist philosophical tradition, and in particular, to the writings of Hegel.  Having considered the Hegelian version of these issues the author explores other accounts as found in Habermas, Strauss, Blumenberg, Nietzsche, and Heidegger.",,,,,,,,,,1,2015-08-22,"Cambridge University Press",1997-01-28,484,,0521568730,9780521568739
"Edward Hallet Carr",Edward,Carr,"What Is History?","The George Macaulay Trevelyan Lectures delivered at the University of Cambridge January - March 1961. New York Times Book Review: ""... a work of rare distinction which nobody can afford to miss.""",,,,,,,,,,1,2015-08-22,Vintage,1967-10-12,224,,0039470391,9780394703916
"Richard Rorty",Richard,Rorty,"Philosophy and the Mirror of Nature: Thirtieth-Anniversary Edition","When it first appeared in 1979, Philosophy and the Mirror of Nature hit the philosophical world like a bombshell. In it, Richard Rorty argued that, beginning in the seventeenth century, philosophers developed an unhealthy obsession with the notion of representation: comparing the mind to a mirror that reflects reality. Rorty's book is a powerful critique of this imagery and the tradition of thought that it spawned.  Thirty years later, the book remains a must-read and stands as a classic of twentieth-century philosophy. Its influence on the academy, both within philosophy and across a wide array of disciplines, continues unabated. This edition includes new essays by philosopher Michael Williams and literary scholar David Bromwich, as well as Rorty's previously unpublished essay ""The Philosopher as Expert.""",,,,,,,,,,1,2015-08-22,"Princeton University Press",2009-01-18,472,,0691141320,9780691141329
"Robert B. Pippin",Robert,Pippin,"Modernism as a Philosophical Problem: On the  Dissatisfactions of European High Culture","Modernism as a Philosophical Problem, 2e presents a new interpretation of the negative and critical self--understanding characteristic of much European high culture since romanticism and especially since Nietzsche, and answers the question of why the issue of modernity became a philosophical problem in European tradition.",,,,"In progress",2017-05-20,,,,,1,2015-08-22,Wiley-Blackwell,1999-10-25,256,,0631214143,9780631214144
"Douglass C. North,John Joseph Wallis,Barry R. Weingast",Douglass,North,"Violence and Social Orders: A Conceptual Framework for Interpreting Recorded Human History","All societies must deal with the possibility of violence, and they do so in different ways.  This book integrates the problem of violence into a larger social science and historical framework, showing how economic and political behavior are closely linked. Most societies, which we call natural states, limit violence by political manipulation of the economy to create privileged interests. These privileges limit the use of violence by powerful individuals, but doing so hinders both economic and political development. In contrast, modern societies create open access to economic and political organizations, fostering political and economic competition. The book provides a framework for understanding the two types of social orders, why open access societies are both politically and economically more developed, and how some 25 countries have made the transition between the two types.",,,,,,,,,,1,2015-08-22,"Cambridge University Press",2009-02-26,326,,0521761735,9780521761734
"Professor James C. Scott",Professor,Scott,"Seeing Like a State: How Certain Schemes to Improve the Human Condition Have Failed (The Institution for Social and Policy St)","Compulsory ""ujamaa"" villages in Tanzania, collectivization in Russia, Le Corbusier's urban planning theory realized in Brasilia, the Great Leap Forward in China, agricultural ""modernization"" in the Tropics - the 20th century has been racked by grand utopian schemes that have inadvertently brought death and disruption to millions. Why do well-intentioned plans for improving the human condition go tragically awry? In this wide-ranging book, James C. Scott analyzes failed cases of large-scale authoritarian plans in a variety of fields. Centrally managed social plans misfire, Scott argues, when they impose schematic visions that do violence to complex interdependencies that are not, and cannot be, fully understood. Further, the success of designs for social organization depends upon the recognition that local, practical knowledge is as important as formal, epistemic knowledge. The author builds a case against ""development theory"" and imperialistic state planning that disregards the values, desires and objections of its subjects. He identifies and discusses four conditions common to all planning disasters: administrative ordering of nature and society by the state; a ""high-modernist ideology"" that places confidence in the ability of human life; a willingness to use authoritarian state power to effect large-scale interventions; and a prostate civil society that cannot effectively resist such plans.",,,,Completed,2016-10-19,2017-01-02,,,,1,2015-08-22,"Yale University Press",1998-03-30,464,,0300070160,9780300070163
"Scott F. Crider",Scott,Crider,"Office Of Assertion: An Art Of Rhetoric For Academic Essay","A frivolous argument or inflated claim is often dismissed with the reply, ""That's just rhetoric!"" But as Scott Crider explains in The Office of Assertion, the classical tradition of rhetoric is both a productive and a liberal art. The ability to employ rhetoric successfully can enable the student, as an effective communicator, to reflect qualities of soul through argument. In that sense, rhetoric is much more than a technical skill. Crider addresses the intelligent university student with respect and humor. This short but serious book is informed by both the ancient rhetorical tradition and recent discoveries concerning the writing process. Though practical, it is not simply a ""how-to"" manual; though philosophical, it never loses sight of writing itself. Crider combines practical guidance about how to improve an academic essay with reflection on the final purposes --educational, political, and philosophical--of such improvement.",,,,,,,,,,1,2015-08-22,"Intercollegiate Studies Institute",2005-05-01,170,,1932236457,9781932236453
"F. A. Hayek",F.,Hayek,"Individualism and Economic Order","In this collection of writings, Nobel laureate Friedrich A. Hayek discusses topics from moral philosophy and the methods of the social sciences to economic theory as different aspects of the same central issue: free markets versus socialist planned economies. First published in the 1930s and 40s, these essays continue to illuminate the problems faced by developing and formerly socialist countries. F. A. Hayek, recipient of the Medal of Freedom in 1991 and winner of the Nobel Memorial Prize in Economics in 1974, taught at the University of Chicago, the University of London, and the University of Freiburg. Among his other works published by the University of Chicago Press is The Road to Serfdom, now available in a special fiftieth anniversary edition.",,,,Completed,2017-01-14,2017-03-12,,,,1,2015-08-22,"University Of Chicago Press",1996-06-01,280,,0226320936,9780226320939
"Joshua Mitchell",Joshua,Mitchell,"Plato's Fable: On the Mortal Condition in Shadowy Times (New Forum Books)","    This book is an exploration of Plato's Republic that bypasses arcane scholarly debates. Plato's Fable provides refreshing insight into what, in Plato's view, is the central problem of life: the mortal propensity to adopt defective ways of answering the question of how to live well.     How, in light of these tendencies, can humankind be saved? Joshua Mitchell discusses the question in unprecedented depth by examining one of the great books of Western civilization.     He draws us beyond the ancients/moderns debate, and beyond the notion that Plato's Republic is best understood as shedding light on the promise of discursive democracy. Instead, Mitchell argues, the question that ought to preoccupy us today is neither ""reason"" nor ""discourse,"" but rather ""imitation."" To what extent is man first and foremost an ""imitative"" being? This, Mitchell asserts, is the subtext of the great political and foreign policy debates of our times.    Plato's Fable is not simply a work of textual exegesis. It is an attempt to move debates within political theory beyond their current location. Mitchell recovers insights about the depth of the problem of mortal imitation from Plato's magnificent work, and seeks to explicate the meaning of Plato's central claim--that ""only philosophy can save us.""",,,,,,,,,,1,2015-08-22,"Princeton University Press",2006-03-26,224,,0691124388,9780691124384
"Marilynne Robinson",Marilynne,Robinson,"Absence of Mind: The Dispelling of Inwardness from the Modern Myth of the Self (The Terry Lectures Series)","In this ambitious book, acclaimed writer Marilynne Robinson applies her astute intellect to some of the most vexing topics in the history of human thought—science, religion, and consciousness. Crafted with the same care and insight as her award-winning novels, Absence of Mind challenges postmodern atheists who crusade against religion under the banner of science. In Robinson’s view, scientific reasoning does not denote a sense of logical infallibility, as thinkers like Richard Dawkins might suggest. Instead, in its purest form, science represents a search for answers. It engages the problem of knowledge, an aspect of the mystery of consciousness, rather than providing a simple and final model of reality.By defending the importance of individual reflection, Robinson celebrates the power and variety of human consciousness in the tradition of William James. She explores the nature of subjectivity and considers the culture in which Sigmund Freud was situated and its influence on his model of self and civilization. Through keen interpretations of language, emotion, science, and poetry, Absence of Mind restores human consciousness to its central place in the religion-science debate.",,,,,,,,,,1,2015-08-22,"Yale University Press",2011-06-28,176,,0300171471,9780300171471
"F. A. Hayek",F.,Hayek,"Constitution of Liberty: The Definitive Edition (The Collected Works of F. A. Hayek), The","From the $700 billion bailout of the banking industry to president Barack Obama’s $787 billion stimulus package to the highly controversial passage of federal health-care reform, conservatives and concerned citizens alike have grown increasingly fearful of big government. Enter Nobel Prize–winning economist and political theorist F. A. Hayek, whose passionate warning against empowering states with greater economic control, The Road to Serfdom, became an overnight sensation last summer when it was endorsed by Glenn Beck. The book has since sold over 150,000 copies.The latest entry in the University of Chicago Press’s series of newly edited editions of Hayek’s works, The Constitution of Liberty is, like Serfdom, just as relevant to our present moment. The book is considered Hayek’s classic statement on the ideals of freedom and liberty, ideals that he believes have guided—and must continue to guide—the growth of Western civilization. Here Hayek defends the principles of a free society, casting a skeptical eye on the growth of the welfare state and examining the challenges to freedom posed by an ever expanding government—as well as its corrosive effect on the creation, preservation, and utilization of knowledge. In opposition to those who call for the state to play a greater role in society, Hayek puts forward a nuanced argument for prudence. Guided by this quality, he elegantly demonstrates that a free market system in a democratic polity—under the rule of law and with strong constitutional protections of individual rights—represents the best chance for the continuing existence of liberty.           Striking a balance between skepticism and hope, Hayek’s profound insights are timelier and more welcome than ever before. This definitive edition of The Constitution of Liberty will give a new generation the opportunity to learn from his enduring wisdom.",,,,,,,,,,1,2015-08-22,"University Of Chicago Press",2011-04-01,688,,0226315398,9780226315393
"Shimon Edelman",Shimon,Edelman,"Computing the Mind: How the Mind Really Works","In a culmination of humanity's millennia-long quest for self knowledge, the sciences of the mind are now in a position to offer concrete, empirically validated answers to the most fundamental questions about human nature. What does it mean to be a mind? How is the mind related to the brain? How are minds shaped by their embodiment and environment? What are the principles behind cognitive functions such as perception, memory, language, thought, and consciousness?  By analyzing the tasks facing any sentient being that is subject to stimulation and a pressure to act, Shimon Edelman identifies computation as the common denominator in the emerging answers to all these questions. Any system composed of elements that exchange signals with each other and occasionally with the rest of the world can be said to be engaged in computation. A brain composed of neurons is one example of a system that computes, and the computations that the neurons collectively carry out constitute the brain's mind.  Edelman presents a computational account of the entire spectrum of cognitive phenomena that constitutes the mind. He begins with sentience, and uses examples from visual perception to demonstrate that it must, at its very core, be a type of computation. Throughout his account, Edelman acknowledges the human mind's biological origins. Along the way, he also demystifies traits such as creativity, language, and individual and collective consciousness, and hints at how naturally evolved minds can transcend some of their limitations by moving to computational substrates other than brains. The account that Edelman gives in this book is accessible, yet unified and rigorous, and the big picture he presents is supported by evidence ranging from neurobiology to computer science. The book should be read by anyone seeking a comprehensive and current introduction to cognitive psychology.",,,,,,,,,,1,2015-08-22,"Oxford University Press, USA",2008-09-08,627,,0195320670,9780195320671
